Strain	Subspp	Subssp_abr	ST	Region	Country_code	Host	Assembly_level	NCBI_ID
PD7202	pauca	Xfp	53	Costa Rica-Inter. NLD	CRI	Coffea arabica	Contig	GCA_006370235.1
COF0407	pauca	Xfp	53	Italy	ITA	Coffea sp.	Contig	GCA_001549825.1
CoDiRo	pauca	Xfp	53	Italy	ITA	Olea europaea	Contig	GCA_000811965.1
De-Donno	pauca	Xfp	53	Italy	ITA	Olea europaea	Complete Genome	GCA_002117875.1
Salento-1	pauca	Xfp	53	Italy	ITA	Olea europaea	Complete Genome	GCA_002954185.1
Salento-2	pauca	Xfp	53	Italy	ITA	Olea europaea	Complete Genome	GCA_002954205.1
Riv19	fastidiosa	Xff	62	United States, California	USA	Morus alba	Complete Genome	GCA_021459805.1
Riv25	fastidiosa	Xff	62	United States, California	USA	Morus alba	Complete Genome	GCA_021459825.1
OLI17A	pauca	Xfp	69	Argentina	ARG	Olea europaea	Complete Genome	GCA_029962065.1
AM2-Angelina	pauca	Xfp	69	Argentina	ARG	Prunus dulcis	Complete Genome	GCA_029962045.1
Hib4	pauca	Xfp	70	Brasil	BRA	Hibiscus schizopetalus	Complete Genome	GCA_001456315.1
CFBP8478	sandyi	Xfs	72	Costa Rica-Inter. FRA	CRI	Coffea arabica	Complete Genome	GCA_032594475.1
CO33	sandyi	Xfs	72	Costa Rica-Inter. ITA	CRI	Coffea arabica	Complete Genome	GCA_032594455.1
PD7211	pauca	Xfp	73	Costa Rica-Inter. NLD	CRI	Coffea arabica	Contig	GCA_006370175.1
CFBP8072	pauca	Xfp	74	Ecuador	ECU	Coffea arabica	Scaffold	GCA_001469345.1
CFBP8073	fastidiosa	Xff	75	Mexico	MEX	Coffea canephora	Complete Genome	GCA_028226975.1
CFBP8356	sandyi	Xfs	76	Costa Rica-Inter. FRA	CRI	Coffea arabica	Complete Genome	GCA_004016415.2
ALM4	pauca	Xfp	78	Argentina	ARG	Prunus dulcis	Complete Genome	GCA_029962025.1
IVIA11529	pauca	Xfp	80	Spain	ESP	Olea europaea	Complete Genome	NA
XYL468	multiplex	Xfm	81	Spain	ESP	Olea europaea var. sylvestris	Complete Genome	GCA_042237065.1
XF-3960-18	multiplex	Xfm	81	Spain	ESP	Prunus dulcis	Scaffold	GCA_014856905.1
Santa29b	multiplex	Xfm	81	Spain	ESP	Santolina chamaecyparissus	Complete Genome	GCA_042240315.1
Fillmore	multiplex	Xfm	81	United States, California	USA	Olea europaea	Complete Genome	GCA_012974105.1
Alm-Lz-1	multiplex	Xfm	87	Italy	ITA	Prunus dulcis	Scaffold	GCA_024257125.1
Ma1	multiplex	Xfm	87	Italy	ITA	Rhamnus alaternus	Contig	GCA_018449155.1
Ma26	multiplex	Xfm	87	Italy	ITA	Spartium junceum	Contig	GCA_018449175.1
TOS14	multiplex	Xfm	87	Italy	ITA	Spartium junceum	Contig	GCA_007713995.1
